secretaria,sigla_uf,instituicao,descricao_empreendimento,municipio,valor_previsto
SESU,MS,UFMS,Complexo Esportivo e/ou Culturais do Campus de Aquidauna - CPAQ - UFMS,Aquidauana,1000000.0
SESU,MS,UFMS,Estruturas Acadêmicas - Edifício da  Faculdade de Direito - UFMS,Campo Grande,5800000.0
SESU,MS,UFMS,Estruturas Acadêmicas do Campus Sede - UFMS,Campo Grande,6900000.0
SESU,MS,UFMS,Reforma Alfândega - Cpan III /Fundação Universidade Federal de Mato Grosso do Sul -  Campo Grande /MS.,Campo Grande,1175627.0
SESU,MS,UFMS,Reforma Setor 1 Acessibilidade Aginova - Universidade Federal de Mato Grosso do Sul,Campo Grande,497749.86
SESU,MS,UFMS,Reforma do Setor de Acessibilidade Unidade Psicologia/ Fundação Universidade Federal de Mato Grosso do Sul -  Campo Grande /MS,Campo Grande,70502.51
SESU,MS,UFMS,Complexo Esportivo do Campus de Chapadão do Sul- UFMS,Chapadão do Sul,1000000.0
SESU,MS,UFMS,Complexo Esportivo e/ou Culturais do Campus de Coxim - CPCX - UFMS,Coxim,1000000.0
SESU,MS,UFMS,Complexo Esportivo e/ou Culturais do Campus de Navirai - CPNV - UFMS,Naviraí,1000000.0
SESU,MS,UFMS,Complexo Esportivo e/ou Culturais do Campus de Nova Andradina - CPNA - UFMS,Nova Andradina,1000000.0
SESU,MS,UFMS,Complexo Esportivo e/ou Culturais do Campus de Paranaiba - CPAR - UFMS,Paranaíba,1000000.0
SESU,MS,UFMS,Complexo Esportivo e/ou Culturais do Campus de Ponta Porã - CPPP - UFMS,Ponta Porã,1000000.0
SESU,MS,UFMS,Complexo Esportivo e/ou Culturais do Campus de Três Lagoas - CPTL - UFMS,Três Lagoas,1000000.0
SESU,MT,UFMT,Complexo Cultural do Campus Cuiabá - UFMT,Cuiabá,3000000.0
SESU,MT,UFMT,Salas de Aula do Campus Cuiabá - UFMT,Cuiabá,2500000.0
SESU,MT,UFMT,Biblioteca do Campus SINOP - UFMT,Sinop,1500000.0
SESU,MT,UFMT,Salas de Aula das Engenharias Agrícola e Ambiental do Campus SINOP - UFMT,Sinop,1300000.0
SESU,MT,UFMT,Salas de Aula de Ciências Farmacêuticas do Campus SINOP - UFMT,Sinop,2000000.0
SESU,MT,UFMT,Salas de Aula do Campus Várzea Grande - UFMT,Várzea Grande,4800000.0
SESU,MT,UFR,Instalações Prediais Complementares - Auditório do Campus Rondonópolis - UFR,Rondonópolis,5200000.0
SESU,MT,UFR,Restaurante Universitário do Campus Rondonópolis - UFR,Rondonópolis,2150000.0
SESU,MT,UFR,Salas de Aula do Campus Rondonópolis - UFR,Rondonópolis,8500000.0
SESU,PA,UFOPA,Salas de Aula do Campus Oriximiná - UFOPA,Oriximiná,4307702.0
SESU,PA,UFOPA,Novo Campus de Rurópolis,Rurópolis,25000000.0
SESU,PA,UFOPA,Novo Campus de Rurópolis - Equipamentos,Rurópolis,10000000.0
SESU,PA,UFOPA,Bloco a do Núcleo de Salas de Aula no Campus Tapajós - Universidade Federal do Oeste do Pará -  Santarém /PA,Santarém,3607702.0
SESU,PA,UFOPA,Estruturas Acadêmicas (4ª etapa) do Bloco Modular Tapajós - UFOPA,Santarém,25000000.0
SESU,PA,UFOPA,Estruturas Acadêmicas - Bloco Modular 3 da Unidade Tapajós do Campus Santarém,Santarém,30000000.0
SESU,PA,UFOPA,Salas de Aula do Campus Óbidos - UFOPA,Óbidos,4300000.0
SESU,PA,UFPA,Salas de Aula do Curso de Medicina do Campus de Altamira - UFPA,Altamira,7900000.0
SESU,PA,UFPA,Laboratórios do Campus de Ananindeua - UFPA,Ananindeua,9400000.0
SESU,PA,UFPA,Estruturas Acadêmicas do Instituto de Ciências Exatas e Naturais do Campus Sede Belém - UFPA,Belém,5400000.0
SESU,PA,UFPA,Restaurante Universitário - Setor de Sáude do Campus de Belém - UFPA,Belém,3400000.0
SESU,PA,UFPA,Restaurante Universitário do Campus Setorial Básico - UFPA,Belém,1600000.0
SESU,PA,UFPA,Laboratórios do Campus Salinópolis - UFPA,Salinópolis,6400000.0
SESU,PA,UFRA,Estruturas Acadêmicas do Campus Sede Belém  - CQMAA- UFRA,Belém,2000000.0
SESU,PA,UFRA,Estruturas Acadêmicas do Campus Sede Belém - CAPP - UFRA,Belém,3700000.0
SESU,PA,UFRA,Estruturas Acadêmicas do Campus Paraupebas - UFRA,Parauapebas,5000000.0
SESU,PA,UNIFESSPA,Salas de Aula do Instituto de Ciências Humanas do Campus Marabá - Unifesspa,Marabá,5500000.0
SESU,PA,UNIFESSPA,Salas de Aula do Instituto de Geociências e Engenharias do Campus Marabá - Unifesspa,Marabá,10000000.0
SESU,PA,UNIFESSPA,Centro de Convivência Estudantil do Campus Rondon do Pará,Rondon do Pará,1500000.0
SESU,PA,UNIFESSPA,Estruturas Acadêmicas do Campus Santana do Araguaia,Santana do Araguaia,1773350.0
SESU,PA,UNIFESSPA,Estruturas Acadêmicas do Campus São Félix do Xingu - Unifesspa,São Félix do Xingu,2500000.0
SESU,PA,UNIFESSPA,Instalações Prediais complementares - Hospital Veterinário do Campus Xinguara - UNIFESSPA,Xinguara,500000.0
SESU,PB,UFCG,Salas de Aula do Campus Cajazeiras - UFCG,Cajazeiras,5000000.0
SESU,PB,UFCG,Complexo Esportivo do Campus Campina Grande - UFCG,Campina Grande,28000000.0
SESU,PB,UFPB,Estruturas Acadêmicas do Campus I - UFPB,João Pessoa,4710000.0
SESU,PB,UFPB,Instalações Prediais complementares do Campus I - UFPB,João Pessoa,3200000.0
SESU,PB,UFPB,Laboratórios do Campus I - UFPB,João Pessoa,1000000.0
SESU,PB,UFPB,Salas de Aula do Campus I - UFPB,João Pessoa,5190000.0
SESU,PE,UFAPE,Construção do Restaurante Universitário de Garanhuns,Garanhuns,472896.91
SESU,PE,UFAPE,Estruturas Acadêmicas do Campus Garanhuns - UFAPE,Garanhuns,4500000.0
SESU,PE,UFAPE,Instalações Prediais complementares do Campus Garanhuns - UFAPE,Garanhuns,1900000.0
SESU,PE,UFAPE,Salas de Aula do Campus Garanhuns - UFAPE,Garanhuns,12900000.0
SESU,PE,UFPE,Complexo Cultural (Teatro) - UFPE,Recife,20000000.0
SESU,PE,UFPE,Estruturas Acadêmicas e Administrativas da Faculdade de Direito - UFPE,Recife,16000000.0
SESU,PE,UFPE,Novo Campus de Sertânia,Sertânia,50000000.0
SESU,PE,UFPE,Novo Campus de Sertânia - Equipamentos,Sertânia,10000000.0
SESU,PE,UFPE,Estruturas Acadêmicas do Campus Vitória de Santo Antão - UFPE,Vitória de Santo Antão,20000000.0
SESU,PE,UFRPE,Estruturas Acadêmica - Etapa 2 - Campus Cabo de Santo Agostinho - UFRPE,Cabo de Santo Agostinho,59500000.0
